view,analyzer,ngram_range,max_features,f1_mean,f1_std,vocab_used
A,char_wb,"(2, 4)",20000,0.5779,0.0022,20000
A,char_wb,"(2, 5)",20000,0.5738,0.0058,20000
A,char_wb,"(3, 4)",20000,0.5736,0.0009,20000
A,word,"(1, 1)",20000,0.5714,0.0168,20000
A,char_wb,"(3, 5)",20000,0.5708,0.0029,20000
A,char_wb,"(4, 5)",20000,0.5706,0.0034,20000
A,word,"(1, 2)",20000,0.5691,0.0116,20000
A,char_wb,"(2, 3)",20000,0.562,0.0022,10388
A,word,"(1, 1)",5000,0.5616,0.0181,5000
A,char_wb,"(2, 3)",5000,0.5611,0.0012,5000
A,char_wb,"(2, 4)",5000,0.5598,0.005,5000
A,char_wb,"(2, 5)",5000,0.5579,0.002,5000
A,word,"(1, 2)",5000,0.5553,0.0152,5000
A,char_wb,"(3, 4)",5000,0.5534,0.012,5000
A,char_wb,"(3, 5)",5000,0.5533,0.0096,5000
A,char_wb,"(4, 5)",5000,0.5513,0.0036,5000
B,word,"(1, 2)",20000,0.5606,0.0059,20000
B,word,"(1, 1)",20000,0.5594,0.0091,15916
B,word,"(1, 1)",5000,0.5575,0.0109,5000
B,word,"(1, 3)",20000,0.555,0.006,20000
B,word,"(1, 2)",5000,0.5522,0.0093,5000
B,word,"(1, 3)",5000,0.5497,0.0077,5000
B,char_wb,"(3, 4)",20000,0.542,0.0143,7242
B,char_wb,"(3, 4)",5000,0.5416,0.0131,5000
B,char_wb,"(2, 3)",5000,0.5161,0.0102,1739
B,char_wb,"(2, 3)",20000,0.5161,0.0102,1739
B,word,"(2, 3)",20000,0.4782,0.0106,20000
B,word,"(2, 3)",5000,0.466,0.0154,5000
