view,family,model,cv_f1_mean,cv_f1_std,cv_fit_s,f1_mean,f1_std,acc_mean,fit_s_mean,brier_mean,total_wall_s
A,linear,linsvc_softmax,0.6597,0.006,0.5812,0.5534,0.0098,0.5541,0.013,0.196,3.2193
A,linear,linsvc_calibrated,0.6642,0.0067,2.2495,0.5596,0.0065,0.5606,0.079,0.1813,11.796
A,linear,logreg,0.6599,0.0073,5.1423,0.5613,0.0089,0.5625,1.4047,0.1802,30.1742
A,linear,ridge_calibrated,0.6688,0.0072,1.0034,0.5652,0.0064,0.5667,0.0801,0.1795,5.5817
A,linear,sgd_hinge_calibrated,0.6686,0.0057,0.9342,0.5486,0.0071,0.5493,0.0545,0.1859,5.1323
A,linear,sgd_modified_huber,0.6578,0.0045,0.303,0.5393,0.009,0.5418,0.0069,0.2577,1.7325
A,linear,perceptron_calibrated,0.6277,0.0058,0.9862,0.5517,0.0057,0.5524,0.0478,0.1872,5.3765
A,linear,passive_aggressive_cal,0.6241,0.0081,4.1166,0.5518,0.0057,0.5526,0.0675,0.1849,21.1095
A,probabilistic,complement_nb,0.5233,0.0148,0.019,0.5202,0.015,0.5393,0.003,0.1883,0.3119
A,probabilistic,multinomial_nb,0.5149,0.0104,0.0191,0.5159,0.0189,0.5362,0.0028,0.1879,0.3074
A,instance_based,knn_k5,0.6061,0.0046,0.0135,0.5362,0.0047,0.5355,0.0016,0.2002,4.5385
A,instance_based,knn_k15,0.6199,0.0065,0.0133,0.5541,0.0069,0.5548,0.0015,0.1848,5.0355
A,instance_based,nearest_centroid,0.5259,0.0103,2.0927,0.5241,0.011,0.5386,0.0998,0.3214,15.4824
A,tree,decision_tree,0.5302,0.0057,4.0479,0.4422,0.0082,0.4468,0.102,0.3294,21.0159
A,tree_ensemble,random_forest,0.5732,0.0084,0.5812,0.5394,0.0058,0.5465,0.1462,0.1907,4.0295
A,tree_ensemble,extra_trees,0.5348,0.0075,0.4727,0.5162,0.0081,0.5301,0.1031,0.1934,3.2692
A,tree_ensemble,bagging_linsvc,0.6631,0.0054,2.4032,0.5601,0.0013,0.5611,0.0789,0.2135,13.9871
A,boosting,adaboost,0.4641,0.0071,8.2317,0.4833,0.0122,0.4891,0.5329,0.2174,49.0832
A,boosting,hist_gb_capped,0.6679,0.0051,25.7105,0.5327,0.0124,0.5334,10.4407,0.2066,163.9182
A,neural,mlp_small,0.6631,0.0049,4.1968,0.5433,0.0101,0.5495,0.4652,0.1885,22.6571
B,linear,linsvc_softmax,0.6359,0.0131,0.1604,0.5488,0.0065,0.5492,0.0057,0.2002,1.0151
B,linear,linsvc_calibrated,0.642,0.0125,0.6564,0.5519,0.0074,0.5529,0.0498,0.1865,3.6786
B,linear,logreg,0.6381,0.0122,2.6489,0.5522,0.0076,0.5529,0.5839,0.1845,15.3724
B,linear,ridge_calibrated,0.6446,0.0133,0.3682,0.5542,0.0076,0.5554,0.0642,0.185,2.3046
B,linear,sgd_hinge_calibrated,0.647,0.0119,0.3774,0.5466,0.0054,0.5478,0.0462,0.1912,2.2814
B,linear,sgd_modified_huber,0.6349,0.0162,0.096,0.5188,0.0042,0.5199,0.0048,0.2614,0.6745
B,linear,perceptron_calibrated,0.6001,0.013,0.3214,0.5441,0.0049,0.5448,0.0421,0.194,1.9794
B,linear,passive_aggressive_cal,0.5942,0.0133,0.8441,0.5421,0.0092,0.543,0.0433,0.1901,4.5901
B,probabilistic,complement_nb,0.5793,0.0134,0.0144,0.534,0.0069,0.5413,0.0027,0.1952,0.2554
B,probabilistic,multinomial_nb,0.5594,0.0159,0.0148,0.5292,0.0082,0.5389,0.0025,0.1908,0.2567
B,instance_based,knn_k5,0.5765,0.0125,0.0098,0.5165,0.0089,0.5165,0.0013,0.2028,4.636
B,instance_based,knn_k15,0.6008,0.0142,0.0095,0.5278,0.0015,0.5304,0.0013,0.1893,2.3826
B,instance_based,nearest_centroid,0.5353,0.016,1.7976,0.5209,0.0065,0.5283,0.0493,0.3435,10.176
B,tree,decision_tree,0.5106,0.0067,0.6687,0.454,0.0167,0.4618,0.0314,0.3015,3.6196
B,tree_ensemble,random_forest,0.5222,0.0088,0.1842,0.4871,0.0147,0.5079,0.124,0.2009,1.7443
B,tree_ensemble,extra_trees,0.4732,0.0058,0.1476,0.468,0.0172,0.4997,0.0978,0.2046,1.4759
B,tree_ensemble,bagging_linsvc,0.6377,0.0119,0.589,0.5471,0.0065,0.5478,0.0459,0.2195,3.5507
B,boosting,adaboost,0.4332,0.0034,1.7876,0.4671,0.0288,0.4864,0.2538,0.2175,11.0361
B,boosting,hist_gb_capped,0.6268,0.0063,21.5113,0.4906,0.0013,0.4914,8.9106,0.2168,136.6349
B,neural,mlp_small,0.6404,0.009,3.1706,0.51,0.0117,0.5266,0.3606,0.2055,17.1334
A,boosting,gradient_boosting_capped,0.6006,0.0064,7.12,0.5251,0.0061,,7.12,0.1932,1324.4
